"","ONDA","mulher","idade","ensino","bolsonaro","tratamento","frame_silente_ganhos","frame_saliente_perdas","op_previdência_AFAVOR","region"
"1","1",0,72,1,1,"0",0,0,0,NA
"2","1",0,79,1,NA,"0",0,0,0,NA
"3","1",0,35,1,NA,"0",0,0,0,NA
"4","1",0,49,1,NA,"0",0,0,0,NA
"5","1",0,65,1,4,"0",0,0,1,NA
"6","1",0,80,1,2,"0",0,0,1,NA
"7","1",0,51,1,2,"0",0,0,1,NA
"8","1",0,51,1,NA,"0",0,0,1,NA
"9","1",0,57,1,1,"0",0,0,1,NA
"10","1",0,66,1,2,"0",0,0,1,NA
"11","1",0,57,1,1,"0",0,0,1,NA
"12","1",0,28,1,2,"0",0,0,1,NA
"13","1",0,49,1,NA,"0",0,0,1,NA
"14","1",0,48,1,3,"0",0,0,1,NA
"15","1",0,67,1,1,"0",0,0,1,NA
"16","1",0,16,1,3,"0",0,0,1,NA
"17","1",0,27,1,1,"0",0,0,1,NA
"18","1",0,51,1,1,"0",0,0,1,NA
"19","1",0,83,1,2,"0",0,0,1,NA
"20","1",0,21,1,3,"0",0,0,1,NA
"21","1",0,57,1,2,"0",0,0,1,NA
"22","1",0,43,1,3,"0",0,0,0,NA
"23","1",0,49,1,2,"0",0,0,0,NA
"24","1",0,62,1,1,"0",0,0,0,NA
"25","1",0,28,1,4,"0",0,0,0,NA
"26","1",1,42,1,1,"0",0,0,0,NA
"27","1",1,58,1,2,"0",0,0,0,NA
"28","1",1,25,1,2,"0",0,0,0,NA
"29","1",1,78,1,1,"0",0,0,0,NA
"30","1",1,79,1,NA,"0",0,0,0,NA
"31","1",1,70,1,1,"0",0,0,0,NA
"32","1",1,36,1,1,"0",0,0,0,NA
"33","1",1,38,1,2,"0",0,0,0,NA
"34","1",1,48,1,NA,"0",0,0,0,NA
"35","1",1,46,1,2,"0",0,0,1,NA
"36","1",1,48,1,2,"0",0,0,1,NA
"37","1",1,70,1,2,"0",0,0,1,NA
"38","1",1,75,1,3,"0",0,0,1,NA
"39","1",1,32,1,2,"0",0,0,1,NA
"40","1",1,35,1,2,"0",0,0,1,NA
"41","1",1,57,1,4,"0",0,0,1,NA
"42","1",1,54,1,1,"0",0,0,1,NA
"43","1",1,45,1,2,"0",0,0,1,NA
"44","1",1,57,1,1,"0",0,0,1,NA
"45","1",1,64,1,2,"0",0,0,1,NA
"46","1",1,80,1,2,"0",0,0,1,NA
"47","1",1,46,1,4,"0",0,0,1,NA
"48","1",1,32,1,1,"0",0,0,1,NA
"49","1",1,35,1,3,"0",0,0,1,NA
"50","1",1,38,1,2,"0",0,0,1,NA
"51","1",1,44,1,NA,"0",0,0,1,NA
"52","1",1,30,1,1,"0",0,0,1,NA
"53","1",1,53,1,2,"0",0,0,1,NA
"54","1",1,54,1,2,"0",0,0,1,NA
"55","1",1,17,1,4,"0",0,0,1,NA
"56","1",1,37,1,2,"0",0,0,1,NA
"57","1",1,39,1,1,"0",0,0,1,NA
"58","1",1,46,1,1,"0",0,0,1,NA
"59","1",1,50,1,NA,"0",0,0,1,NA
"60","1",1,61,1,2,"0",0,0,1,NA
"61","1",1,74,1,NA,"0",0,0,1,NA
"62","1",1,24,1,2,"0",0,0,1,NA
"63","1",1,50,1,1,"0",0,0,1,NA
"64","1",1,60,1,1,"0",0,0,1,NA
"65","1",1,62,1,NA,"0",0,0,1,NA
"66","1",1,63,1,NA,"0",0,0,0,NA
"67","1",1,52,1,3,"0",0,0,0,NA
"68","1",1,69,1,2,"0",0,0,0,NA
"69","1",1,57,1,1,"0",0,0,0,NA
"70","1",1,75,1,1,"0",0,0,0,NA
"71","1",1,50,1,NA,"0",0,0,0,NA
"72","1",1,66,1,1,"0",0,0,0,NA
"73","1",0,42,2,4,"0",0,0,0,NA
"74","1",0,53,2,NA,"0",0,0,0,NA
"75","1",0,44,2,4,"0",0,0,0,NA
"76","1",0,50,2,1,"0",0,0,0,NA
"77","1",0,58,2,2,"0",0,0,0,NA
"78","1",0,21,2,2,"0",0,0,0,NA
"79","1",0,50,2,3,"0",0,0,0,NA
"80","1",0,29,2,NA,"0",0,0,1,NA
"81","1",0,17,2,2,"0",0,0,1,NA
"82","1",0,18,2,3,"0",0,0,1,NA
"83","1",0,19,2,1,"0",0,0,1,NA
"84","1",0,22,2,2,"0",0,0,1,NA
"85","1",0,31,2,2,"0",0,0,1,NA
"86","1",0,31,2,3,"0",0,0,1,NA
"87","1",0,40,2,2,"0",0,0,1,NA
"88","1",0,45,2,1,"0",0,0,1,NA
"89","1",0,45,2,2,"0",0,0,1,NA
"90","1",0,59,2,1,"0",0,0,1,NA
"91","1",0,66,2,2,"0",0,0,1,NA
"92","1",0,71,2,1,"0",0,0,1,NA
"93","1",0,20,2,2,"0",0,0,1,NA
"94","1",0,35,2,2,"0",0,0,1,NA
"95","1",0,45,2,3,"0",0,0,1,NA
"96","1",0,55,2,2,"0",0,0,1,NA
"97","1",0,17,2,2,"0",0,0,1,NA
"98","1",0,18,2,2,"0",0,0,1,NA
"99","1",0,22,2,1,"0",0,0,1,NA
"100","1",0,29,2,1,"0",0,0,1,NA
"101","1",0,32,2,1,"0",0,0,1,NA
"102","1",0,33,2,NA,"0",0,0,1,NA
"103","1",0,38,2,2,"0",0,0,1,NA
"104","1",0,43,2,2,"0",0,0,1,NA
"105","1",0,63,2,1,"0",0,0,1,NA
"106","1",0,65,2,1,"0",0,0,1,NA
"107","1",0,73,2,2,"0",0,0,1,NA
"108","1",0,17,2,1,"0",0,0,1,NA
"109","1",0,19,2,3,"0",0,0,1,NA
"110","1",0,27,2,2,"0",0,0,1,NA
"111","1",0,36,2,2,"0",0,0,1,NA
"112","1",0,52,2,2,"0",0,0,1,NA
"113","1",0,38,2,2,"0",0,0,0,NA
"114","1",0,46,2,2,"0",0,0,0,NA
"115","1",0,57,2,2,"0",0,0,0,NA
"116","1",0,31,2,3,"0",0,0,0,NA
"117","1",0,35,2,NA,"0",0,0,0,NA
"118","1",0,48,2,3,"0",0,0,0,NA
"119","1",0,52,2,5,"0",0,0,0,NA
"120","1",0,24,2,1,"0",0,0,0,NA
"121","1",0,42,2,1,"0",0,0,0,NA
"122","1",0,49,2,2,"0",0,0,0,NA
"123","1",0,52,2,2,"0",0,0,0,NA
"124","1",0,50,2,2,"0",0,0,0,NA
"125","1",1,46,2,1,"0",0,0,0,NA
"126","1",1,62,2,1,"0",0,0,0,NA
"127","1",1,18,2,NA,"0",0,0,0,NA
"128","1",1,28,2,1,"0",0,0,0,NA
"129","1",1,47,2,NA,"0",0,0,0,NA
"130","1",1,58,2,2,"0",0,0,0,NA
"131","1",1,28,2,NA,"0",0,0,0,NA
"132","1",1,45,2,NA,"0",0,0,0,NA
"133","1",1,46,2,3,"0",0,0,0,NA
"134","1",1,23,2,NA,"0",0,0,0,NA
"135","1",1,24,2,NA,"0",0,0,0,NA
"136","1",1,27,2,2,"0",0,0,0,NA
"137","1",1,30,2,3,"0",0,0,0,NA
"138","1",1,61,2,2,"0",0,0,0,NA
"139","1",1,25,2,1,"0",0,0,0,NA
"140","1",1,33,2,1,"0",0,0,0,NA
"141","1",1,16,2,1,"0",0,0,1,NA
"142","1",1,22,2,2,"0",0,0,1,NA
"143","1",1,25,2,1,"0",0,0,1,NA
"144","1",1,51,2,3,"0",0,0,1,NA
"145","1",1,53,2,1,"0",0,0,1,NA
"146","1",1,18,2,5,"0",0,0,1,NA
"147","1",1,21,2,2,"0",0,0,1,NA
"148","1",1,22,2,2,"0",0,0,1,NA
"149","1",1,30,2,1,"0",0,0,1,NA
"150","1",1,36,2,1,"0",0,0,1,NA
"151","1",1,55,2,2,"0",0,0,1,NA
"152","1",1,24,2,1,"0",0,0,1,NA
"153","1",1,37,2,1,"0",0,0,1,NA
"154","1",1,39,2,1,"0",0,0,1,NA
"155","1",1,41,2,3,"0",0,0,1,NA
"156","1",1,53,2,2,"0",0,0,1,NA
"157","1",1,18,2,1,"0",0,0,1,NA
"158","1",1,19,2,3,"0",0,0,1,NA
"159","1",1,20,2,1,"0",0,0,1,NA
"160","1",1,29,2,1,"0",0,0,1,NA
"161","1",1,34,2,5,"0",0,0,1,NA
"162","1",1,38,2,NA,"0",0,0,1,NA
"163","1",1,39,2,2,"0",0,0,1,NA
"164","1",1,41,2,1,"0",0,0,1,NA
"165","1",1,45,2,3,"0",0,0,1,NA
"166","1",1,49,2,1,"0",0,0,1,NA
"167","1",1,53,2,1,"0",0,0,1,NA
"168","1",1,58,2,1,"0",0,0,1,NA
"169","1",1,61,2,1,"0",0,0,1,NA
"170","1",1,70,2,1,"0",0,0,1,NA
"171","1",1,73,2,1,"0",0,0,1,NA
"172","1",1,51,2,1,"0",0,0,1,NA
"173","1",1,62,2,1,"0",0,0,1,NA
"174","1",1,37,2,1,"0",0,0,0,NA
"175","1",1,18,2,2,"0",0,0,0,NA
"176","1",1,25,2,5,"0",0,0,0,NA
"177","1",1,33,2,2,"0",0,0,0,NA
"178","1",1,68,2,2,"0",0,0,0,NA
"179","1",1,19,2,2,"0",0,0,0,NA
"180","1",1,21,2,5,"0",0,0,0,NA
"181","1",1,24,2,NA,"0",0,0,0,NA
"182","1",1,33,2,1,"0",0,0,0,NA
"183","1",1,40,2,2,"0",0,0,0,NA
"184","1",1,40,2,5,"0",0,0,0,NA
"185","1",1,41,2,5,"0",0,0,0,NA
"186","1",1,50,2,1,"0",0,0,0,NA
"187","1",1,50,2,1,"0",0,0,0,NA
"188","1",1,27,2,3,"0",0,0,0,NA
"189","1",0,45,3,1,"0",0,0,0,NA
"190","1",0,47,3,2,"0",0,0,0,NA
"191","1",0,64,3,5,"0",0,0,0,NA
"192","1",0,30,3,1,"0",0,0,0,NA
"193","1",0,45,3,2,"0",0,0,0,NA
"194","1",0,64,3,2,"0",0,0,0,NA
"195","1",0,43,3,2,"0",0,0,0,NA
"196","1",0,25,3,3,"0",0,0,1,NA
"197","1",0,30,3,2,"0",0,0,1,NA
"198","1",0,20,3,2,"0",0,0,1,NA
"199","1",0,25,3,1,"0",0,0,1,NA
"200","1",0,27,3,NA,"0",0,0,1,NA
"201","1",0,34,3,2,"0",0,0,1,NA
"202","1",0,35,3,1,"0",0,0,1,NA
"203","1",0,36,3,3,"0",0,0,1,NA
"204","1",0,37,3,1,"0",0,0,1,NA
"205","1",0,44,3,3,"0",0,0,1,NA
"206","1",0,52,3,1,"0",0,0,1,NA
"207","1",0,53,3,1,"0",0,0,1,NA
"208","1",0,46,3,1,"0",0,0,1,NA
"209","1",0,24,3,4,"0",0,0,1,NA
"210","1",0,26,3,1,"0",0,0,1,NA
"211","1",0,27,3,1,"0",0,0,1,NA
"212","1",0,28,3,1,"0",0,0,1,NA
"213","1",0,29,3,5,"0",0,0,1,NA
"214","1",0,29,3,1,"0",0,0,1,NA
"215","1",0,33,3,2,"0",0,0,1,NA
"216","1",0,34,3,1,"0",0,0,1,NA
"217","1",0,35,3,1,"0",0,0,1,NA
"218","1",0,37,3,2,"0",0,0,1,NA
"219","1",0,40,3,1,"0",0,0,1,NA
"220","1",0,40,3,4,"0",0,0,1,NA
"221","1",0,42,3,2,"0",0,0,1,NA
"222","1",0,44,3,2,"0",0,0,1,NA
"223","1",0,52,3,2,"0",0,0,1,NA
"224","1",0,54,3,3,"0",0,0,1,NA
"225","1",0,55,3,2,"0",0,0,1,NA
"226","1",0,59,3,2,"0",0,0,1,NA
"227","1",0,66,3,3,"0",0,0,1,NA
"228","1",0,23,3,1,"0",0,0,1,NA
"229","1",0,34,3,2,"0",0,0,1,NA
"230","1",0,35,3,1,"0",0,0,1,NA
"231","1",0,26,3,2,"0",0,0,0,NA
"232","1",0,40,3,NA,"0",0,0,0,NA
"233","1",0,41,3,5,"0",0,0,0,NA
"234","1",0,50,3,2,"0",0,0,0,NA
"235","1",0,28,3,2,"0",0,0,0,NA
"236","1",0,41,3,1,"0",0,0,0,NA
"237","1",0,52,3,NA,"0",0,0,0,NA
"238","1",0,54,3,1,"0",0,0,0,NA
"239","1",0,28,3,2,"0",0,0,0,NA
"240","1",0,28,3,4,"0",0,0,0,NA
"241","1",0,35,3,3,"0",0,0,0,NA
"242","1",1,77,3,NA,"0",0,0,0,NA
"243","1",1,50,3,1,"0",0,0,0,NA
"244","1",1,43,3,1,"0",0,0,0,NA
"245","1",1,52,3,2,"0",0,0,0,NA
"246","1",1,40,3,1,"0",0,0,0,NA
"247","1",1,43,3,1,"0",0,0,0,NA
"248","1",1,49,3,4,"0",0,0,0,NA
"249","1",1,25,3,NA,"0",0,0,0,NA
"250","1",1,28,3,3,"0",0,0,0,NA
"251","1",1,47,3,3,"0",0,0,0,NA
"252","1",1,85,3,5,"0",0,0,0,NA
"253","1",1,40,3,2,"0",0,0,1,NA
"254","1",1,66,3,1,"0",0,0,1,NA
"255","1",1,21,3,5,"0",0,0,1,NA
"256","1",1,31,3,1,"0",0,0,1,NA
"257","1",1,35,3,3,"0",0,0,1,NA
"258","1",1,39,3,NA,"0",0,0,1,NA
"259","1",1,46,3,2,"0",0,0,1,NA
"260","1",1,29,3,1,"0",0,0,1,NA
"261","1",1,53,3,1,"0",0,0,1,NA
"262","1",1,19,3,1,"0",0,0,1,NA
